[0113/153037.241:INFO:CONSOLE(21172)] "THREE.WebGLRenderer 92", source: file:///C:/Program%20Files/AnyLogic%208.8%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.8.6.202312140457/static/build/three.js (21172)
[0113/153038.019:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.8%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.8.6.202312140457/static/libs/ColladaLoader.js (3660)
[0113/153038.031:INFO:CONSOLE(255)] "Loaded: file:C:/Users/ensar/Desktop/modelling/hairsalon1/3d/reseption_2.dae", source: file:///C:/Program%20Files/AnyLogic%208.8%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.8.6.202312140457/static/init.js (255)
[0113/153038.031:INFO:CONSOLE(271)] "load end: file:C:/Users/ensar/Desktop/modelling/hairsalon1/3d/reseption_2.dae", source: file:///C:/Program%20Files/AnyLogic%208.8%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.8.6.202312140457/static/init.js (271)
[0113/153038.149:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.8%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.8.6.202312140457/static/libs/ColladaLoader.js (3660)
[0113/153038.154:INFO:CONSOLE(255)] "Loaded: file:C:/Users/ensar/Desktop/modelling/hairsalon1/3d/chair.dae", source: file:///C:/Program%20Files/AnyLogic%208.8%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.8.6.202312140457/static/init.js (255)
[0113/153038.154:INFO:CONSOLE(271)] "load end: file:C:/Users/ensar/Desktop/modelling/hairsalon1/3d/chair.dae", source: file:///C:/Program%20Files/AnyLogic%208.8%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.8.6.202312140457/static/init.js (271)
[0113/153038.179:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.8%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.8.6.202312140457/static/libs/ColladaLoader.js (3660)
[0113/153038.185:INFO:CONSOLE(255)] "Loaded: file:C:/Users/ensar/Desktop/modelling/hairsalon1/3d/officeworker.dae", source: file:///C:/Program%20Files/AnyLogic%208.8%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.8.6.202312140457/static/init.js (255)
[0113/153038.185:INFO:CONSOLE(271)] "load end: file:C:/Users/ensar/Desktop/modelling/hairsalon1/3d/officeworker.dae", source: file:///C:/Program%20Files/AnyLogic%208.8%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.8.6.202312140457/static/init.js (271)
[0113/153038.209:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.8%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.8.6.202312140457/static/libs/ColladaLoader.js (3660)
[0113/153038.211:INFO:CONSOLE(255)] "Loaded: file:C:/Users/ensar/Desktop/modelling/hairsalon1/3d/keyboard.dae", source: file:///C:/Program%20Files/AnyLogic%208.8%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.8.6.202312140457/static/init.js (255)
[0113/153038.211:INFO:CONSOLE(271)] "load end: file:C:/Users/ensar/Desktop/modelling/hairsalon1/3d/keyboard.dae", source: file:///C:/Program%20Files/AnyLogic%208.8%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.8.6.202312140457/static/init.js (271)
[0113/153038.234:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.8%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.8.6.202312140457/static/libs/ColladaLoader.js (3660)
[0113/153038.237:INFO:CONSOLE(255)] "Loaded: file:C:/Users/ensar/Desktop/modelling/hairsalon1/3d/phone.dae", source: file:///C:/Program%20Files/AnyLogic%208.8%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.8.6.202312140457/static/init.js (255)
